City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,01-01-2015,,,0.92,18.22,17.15,,0.92,27.64,133.36,0,0.02,0,,
Ahmedabad,02-01-2015,,,0.97,15.69,16.46,,0.97,24.55,34.06,3.68,5.5,3.77,,
Ahmedabad,03-01-2015,,,17.4,19.3,29.7,,17.4,29.07,30.7,6.8,16.4,2.25,,
Ahmedabad,04-01-2015,,,1.7,18.48,17.97,,1.7,18.59,36.08,4.43,10.14,1,,
Ahmedabad,05-01-2015,,,22.1,21.42,37.76,,22.1,39.33,39.31,7.01,18.89,2.78,,
Ahmedabad,06-01-2015,,,45.41,38.48,81.5,,45.41,45.76,46.51,5.42,10.83,1.93,,
Ahmedabad,07-01-2015,,,112.16,40.62,130.77,,112.16,32.28,33.47,0,0,0,,
Ahmedabad,08-01-2015,,,80.87,36.74,96.75,,80.87,38.54,31.89,0,0,0,,
Ahmedabad,09-01-2015,,,29.16,31,48,,29.16,58.68,25.75,0,0,0,,
Ahmedabad,10-01-2015,,,,7.04,0,,,8.29,4.55,0,0,0,,
Ahmedabad,11-01-2015,,,132.07,55.8,24.53,,132.07,25.03,6.79,0,0,0,,
Ahmedabad,12-01-2015,,,52.04,40.67,90.24,,52.04,51.84,45.89,2.41,0.03,7.88,,
Ahmedabad,13-01-2015,,,48.82,44.2,87.09,,48.82,68.21,35.16,9.45,13.35,12.5,,
Ahmedabad,14-01-2015,,,19.2,27.86,33.05,,19.2,52.65,20.96,2.16,2.26,5.19,,
Ahmedabad,15-01-2015,,,0.6,16.96,16.6,,0.6,28.89,47.63,0.14,0.04,1.35,,
Ahmedabad,16-01-2015,,,1.63,21.72,22.86,,1.63,38.27,46.03,0.35,0.05,2.01,,
Ahmedabad,17-01-2015,,,11.44,24.73,34.75,,11.44,49.5,52.24,0.68,0,3.27,,
Ahmedabad,18-01-2015,,,6.1,25.77,29.57,,6.1,48.43,53.49,0.74,0.21,2.75,,
Ahmedabad,19-01-2015,,,2.51,26.88,27.45,,2.51,50.03,49.48,0.26,0.02,2.8,,
Ahmedabad,20-01-2015,,,7.92,26.8,32.4,,7.92,58.87,56.37,0.24,0.01,3.97,,
Ahmedabad,21-01-2015,,,9.52,33.56,39.28,,9.52,106.93,48.75,0.33,0,5.65,,
Ahmedabad,22-01-2015,,,9.05,17.51,22.33,,9.05,23.71,42.22,0,0,4.51,,
Ahmedabad,23-01-2015,,,22.53,27.96,47.79,,22.53,39.19,32.92,0.39,0,5.95,,
Ahmedabad,24-01-2015,,,2.03,20.39,21.4,,2.03,40.07,32.49,0.47,0.7,1.54,,
Ahmedabad,25-01-2015,,,1.42,20.43,20.19,,1.42,58.41,39.26,0.01,0,0.94,,
Ahmedabad,26-01-2015,,,2.27,21.16,21.81,,2.27,43.73,39.83,0.06,0,1.55,,
Ahmedabad,27-01-2015,,,2.19,21.7,23.26,,2.19,43.28,41.1,0.02,0,1.65,,
Ahmedabad,28-01-2015,73.24,,5.72,21.11,25.84,,5.72,36.52,62.42,0.03,0.01,1.41,,
Ahmedabad,29-01-2015,83.13,,6.93,28.71,33.72,,6.93,49.52,59.76,0.02,0,3.14,209,Poor
Ahmedabad,30-01-2015,79.84,,13.85,28.68,41.08,,13.85,48.49,97.07,0.04,0,4.81,328,Very Poor
Ahmedabad,31-01-2015,94.52,,24.39,32.66,52.61,,24.39,67.39,111.33,0.24,0.01,7.67,514,Severe
Ahmedabad,01-02-2015,135.99,,43.48,42.08,84.57,,43.48,75.23,102.7,0.4,0.04,25.87,782,Severe
Ahmedabad,02-02-2015,178.33,,54.56,35.31,72.8,,54.56,55.04,107.38,0.46,0.06,35.61,914,Severe
Ahmedabad,03-02-2015,139.7,,30.61,28.4,56.73,,30.61,33.79,73.6,0.17,0.03,11.87,660,Severe
Ahmedabad,04-02-2015,80.65,,2.37,22.83,24,,2.37,25.73,47.3,0,0,0,294,Poor
Ahmedabad,05-02-2015,58.36,,2.6,21.39,23.31,,2.6,32.66,53.54,0,0,0,149,Moderate
Ahmedabad,06-02-2015,79.29,,1.16,26.94,26.83,,1.16,67.41,59.3,0,0,0,190,Moderate
Ahmedabad,07-02-2015,88.7,,7.29,31.32,37.73,,7.29,80.09,44.76,0,0,0,247,Poor
Ahmedabad,08-02-2015,74.28,,8.92,27.3,33.42,,8.92,54.28,47.42,0,0,0.27,379,Very Poor
Ahmedabad,09-02-2015,113.93,,4.32,24.27,26.86,,4.32,48.73,39.94,0.02,0,3.55,341,Very Poor
Ahmedabad,10-02-2015,105.39,,1.41,18.21,18.75,,1.41,35.91,56.15,0,0,3.31,256,Poor
Ahmedabad,11-02-2015,66.52,,6.34,23.8,28.24,,6.34,66.58,53.14,9.7,9.63,16.49,388,Very Poor
Ahmedabad,12-02-2015,65.04,,14.19,30.1,44.21,,14.19,65.91,31.88,7.72,17.46,2.51,288,Poor
Ahmedabad,13-02-2015,103.36,,18.18,39.56,57.33,,18.18,80.43,40.11,11.29,24.35,3.35,510,Severe
Ahmedabad,14-02-2015,177.33,,37.49,47.58,77.85,,37.49,99.72,36.47,17,52.66,6.98,761,Severe
Ahmedabad,15-02-2015,113.25,,15.55,30.5,44.87,,15.55,69.71,33.78,10.47,28.53,3.22,475,Severe
Ahmedabad,16-02-2015,99.7,,19.85,28.1,47.31,,19.85,73.23,30.57,10.28,31.25,4,536,Severe
Ahmedabad,17-02-2015,80.61,,15.96,21.04,35.67,,15.96,54.7,36.2,8.14,18.75,2.52,479,Severe
Ahmedabad,18-02-2015,100.79,,16.24,25.93,41.91,,16.24,43.11,37.43,10,32.41,4.04,592,Severe
Ahmedabad,19-02-2015,107.99,,11.25,30.09,40.47,,11.25,84.86,31.94,9.2,24.03,3.25,427,Severe
Ahmedabad,20-02-2015,140.29,,33.84,36.14,68.85,,33.84,101.53,40.98,20.12,43.51,7.48,588,Severe
Ahmedabad,21-02-2015,239.96,,61.95,46.25,106.92,,61.95,84.87,33.55,22.14,53.98,15.44,1141,Severe
Ahmedabad,22-02-2015,142.96,,45.45,48.21,92.32,,45.45,62.96,34.77,7.35,22.4,8.47,669,Severe
Ahmedabad,23-02-2015,238.41,,77.7,55.07,131.32,,77.7,89.07,37.3,50.61,163.64,28.46,1247,Severe
Ahmedabad,24-02-2015,118.72,,12.56,32.01,42.56,,12.56,61.54,38.8,16.89,46.52,6.05,411,Severe
Ahmedabad,25-02-2015,52.99,,2.23,10.45,10.39,,2.23,32.76,67.25,3.85,11.39,0.81,292,Poor
